,Visited
2018-08-19,113566
2018-08-20,104217
2018-08-21,104349
2018-08-22,118861
2018-08-23,103514
2018-08-24,102970
2018-08-25,99441
2018-08-26,97721
2018-08-27,98509
2018-08-28,102203
2018-08-29,98393
2018-08-30,106698
2018-08-31,94248
2018-09-01,115225
2018-09-02,105492
2018-09-03,124253
2018-09-04,121264
2018-09-05,109716
2018-09-06,112458
2018-09-07,116464
2018-09-08,111384
2018-09-09,124173
2018-09-10,113241
2018-09-11,115557
2018-09-12,114275
2018-09-13,111514
2018-09-14,115483
2018-09-15,107340
2018-09-16,111984
2018-09-17,104961
2018-09-18,108096
2018-09-19,107089
2018-09-20,111688
2018-09-21,122466
2018-09-22,107016
2018-09-23,112636
2018-09-24,109240
2018-09-25,109523
2018-09-26,113948
2018-09-27,105397
2018-09-28,107672
2018-09-29,110908
2018-09-30,109492
2018-10-01,104530
2018-10-02,91206
2018-10-03,102819
2018-10-04,101953
2018-10-05,102715
2018-10-06,101738
2018-10-07,102537
2018-10-08,94315
2018-10-09,97063
2018-10-10,104359
2018-10-11,111843
2018-10-12,103574
2018-10-13,112384
2018-10-14,99778
2018-10-15,115364
2018-10-16,97811
2018-10-17,112790
2018-10-18,114704
2018-10-19,107326
2018-10-20,108717
2018-10-21,111516
2018-10-22,100150
2018-10-23,102907
2018-10-24,102301
2018-10-25,103792
2018-10-26,100308
2018-10-27,117412
2018-10-28,100461
2018-10-29,111769
2018-10-30,110198
2018-10-31,117855
2018-11-01,113256
2018-11-02,126432
2018-11-03,118101
2018-11-04,119803
2018-11-05,113567
2018-11-06,114207
2018-11-07,137207
2018-11-08,123371
2018-11-09,116590
2018-11-10,118186
2018-11-11,118342
2018-11-12,115218
2018-11-13,116625
2018-11-14,120611
2018-11-15,109759
2018-11-16,121387
2018-11-17,113595
2018-11-18,111842
2018-11-19,117969
2018-11-20,113299
2018-11-21,128310
2018-11-22,113023
2018-11-23,119527
2018-11-24,109822
2018-11-25,110116
2018-11-26,112685
2018-11-27,105242
2018-11-28,101028
2018-11-29,107810
2018-11-30,101788
2018-12-01,109559
2018-12-02,93705
2018-12-03,112283
2018-12-04,103025
2018-12-05,102768
2018-12-06,107738
2018-12-07,113755
2018-12-08,98047
2018-12-09,94650
2018-12-10,94247
2018-12-11,97182
2018-12-12,103968
2018-12-13,105200
2018-12-14,101517
2018-12-15,101062
2018-12-16,98592
2018-12-17,101737
2018-12-18,107774
2018-12-19,105124
2018-12-20,94661
2018-12-21,91183
2018-12-22,95121
2018-12-23,100287
2018-12-24,92618
2018-12-25,98330
2018-12-26,96825
2018-12-27,92342
2018-12-28,92329
2018-12-29,83668
2018-12-30,81373
2018-12-31,98498
2019-01-01,79569
2019-01-02,88863
2019-01-03,82025
2019-01-04,86179
2019-01-05,80532
2019-01-06,86880
2019-01-07,76154
2019-01-08,71575
2019-01-09,93851
2019-01-10,83407
2019-01-11,83438
2019-01-12,90327
2019-01-13,88659
2019-01-14,76261
2019-01-15,82095
2019-01-16,87876
2019-01-17,93123
2019-01-18,88466
2019-01-19,82126
2019-01-20,86190
2019-01-21,82743
2019-01-22,92028
2019-01-23,91369
2019-01-24,94420
2019-01-25,91057
2019-01-26,75411
2019-01-27,89191
2019-01-28,84486
2019-01-29,82039
2019-01-30,94940
2019-01-31,78332
2019-02-01,80163
2019-02-02,89984
2019-02-03,89710
2019-02-04,86070
2019-02-05,87490
2019-02-06,87562
2019-02-07,84267
2019-02-08,90694
2019-02-09,89989
2019-02-10,92799
2019-02-11,97811
2019-02-12,90823
2019-02-13,89393
2019-02-14,89342
2019-02-15,83601
2019-02-16,93630
2019-02-17,89981
2019-02-18,92088
2019-02-19,102409
2019-02-20,99951
2019-02-21,93239
2019-02-22,93325
2019-02-23,94857
2019-02-24,96161
2019-02-25,100247
2019-02-26,96832
2019-02-27,100439
2019-02-28,92355
2019-03-01,104783
2019-03-02,102426
2019-03-03,104054
2019-03-04,93932
2019-03-05,107342
2019-03-06,110039
2019-03-07,110384
2019-03-08,106693
2019-03-09,102576
2019-03-10,114965
2019-03-11,104783
2019-03-12,96177
2019-03-13,102483
2019-03-14,100759
2019-03-15,99997
2019-03-16,104490
2019-03-17,116260
2019-03-18,115557
2019-03-19,109226
2019-03-20,110405
2019-03-21,104366
2019-03-22,97257
2019-03-23,112210
2019-03-24,109668
2019-03-25,91298
2019-03-26,103067
2019-03-27,113263
2019-03-28,109176
2019-03-29,110194
2019-03-30,93946
2019-03-31,116516
2019-04-01,100470
2019-04-02,108755
2019-04-03,104827
2019-04-04,104831
2019-04-05,119600
2019-04-06,107507
2019-04-07,102522
2019-04-08,102335
2019-04-09,111777
2019-04-10,110947
2019-04-11,106596
2019-04-12,99064
2019-04-13,105296
2019-04-14,107981
2019-04-15,101599
2019-04-16,97655
2019-04-17,108852
2019-04-18,99463
2019-04-19,115980
2019-04-20,86892
2019-04-21,110406
2019-04-22,109618
2019-04-23,108260
2019-04-24,86258
2019-04-25,95269
2019-04-26,108417
2019-04-27,93533
2019-04-28,99456
2019-04-29,101385
2019-04-30,100154
2019-05-01,123493
2019-05-02,115827
2019-05-03,120082
2019-05-04,102199
2019-05-05,110329
2019-05-06,125439
2019-05-07,97654
2019-05-08,110844
2019-05-09,109245
2019-05-10,112795
2019-05-11,110548
2019-05-12,98489
2019-05-13,94868
2019-05-14,97998
2019-05-15,102785
2019-05-16,89222
2019-05-17,106372
2019-05-18,85848
2019-05-19,96730
2019-05-20,94533
2019-05-21,83088
2019-05-22,82871
2019-05-23,83499
2019-05-24,81444
2019-05-25,83599
2019-05-26,77186
2019-05-27,77361
2019-05-28,74631
