,Visited
2018-09-29,140460
2018-09-30,142986
2018-10-01,127559
2018-10-02,140859
2018-10-03,148592
2018-10-04,141617
2018-10-05,140882
2018-10-06,151818
2018-10-07,138524
2018-10-08,152789
2018-10-09,153959
2018-10-10,153694
2018-10-11,172189
2018-10-12,161155
2018-10-13,164084
2018-10-14,165702
2018-10-15,163319
2018-10-16,174750
2018-10-17,165865
2018-10-18,162443
2018-10-19,152569
2018-10-20,162776
2018-10-21,168243
2018-10-22,167543
2018-10-23,160978
2018-10-24,156837
2018-10-25,176019
2018-10-26,157395
2018-10-27,158467
2018-10-28,155660
2018-10-29,150501
2018-10-30,158215
2018-10-31,145526
2018-11-01,167817
2018-11-02,173475
2018-11-03,181495
2018-11-04,174698
2018-11-05,189931
2018-11-06,185865
2018-11-07,194364
2018-11-08,191520
2018-11-09,188659
2018-11-10,191758
2018-11-11,193013
2018-11-12,189993
2018-11-13,196853
2018-11-14,186789
2018-11-15,184328
2018-11-16,183089
2018-11-17,185842
2018-11-18,189600
2018-11-19,184439
2018-11-20,189972
2018-11-21,182866
2018-11-22,184296
2018-11-23,184927
2018-11-24,168312
2018-11-25,185130
2018-11-26,170850
2018-11-27,172667
2018-11-28,165563
2018-11-29,165899
2018-11-30,166588
2018-12-01,170012
2018-12-02,167226
2018-12-03,168449
2018-12-04,176368
2018-12-05,176679
2018-12-06,179666
2018-12-07,184938
2018-12-08,192513
2018-12-09,179410
2018-12-10,180340
2018-12-11,184845
2018-12-12,192896
2018-12-13,181905
2018-12-14,182427
2018-12-15,179494
2018-12-16,180484
2018-12-17,178131
2018-12-18,174155
2018-12-19,179980
2018-12-20,181072
2018-12-21,172360
2018-12-22,169244
2018-12-23,164881
2018-12-24,164857
2018-12-25,178685
2018-12-26,160680
2018-12-27,168246
2018-12-28,153944
2018-12-29,145283
2018-12-30,151938
2018-12-31,149982
2019-01-01,147837
2019-01-02,139595
2019-01-03,142938
2019-01-04,145892
2019-01-05,149964
2019-01-06,155301
2019-01-07,153702
2019-01-08,157899
2019-01-09,151170
2019-01-10,162559
2019-01-11,156717
2019-01-12,155569
2019-01-13,163885
2019-01-14,149744
2019-01-15,161868
2019-01-16,162073
2019-01-17,177628
2019-01-18,168642
2019-01-19,167321
2019-01-20,164346
2019-01-21,174085
2019-01-22,165770
2019-01-23,161172
2019-01-24,171905
2019-01-25,165171
2019-01-26,160808
2019-01-27,155926
2019-01-28,155621
2019-01-29,138871
2019-01-30,147471
2019-01-31,151980
2019-02-01,188120
2019-02-02,208902
2019-02-03,190561
2019-02-04,198484
2019-02-05,180336
2019-02-06,197367
2019-02-07,186282
2019-02-08,211949
2019-02-09,184127
2019-02-10,189006
2019-02-11,187732
2019-02-12,182870
2019-02-13,187511
2019-02-14,176988
2019-02-15,171474
2019-02-16,171110
2019-02-17,168426
2019-02-18,171649
2019-02-19,159186
2019-02-20,161651
2019-02-21,159308
2019-02-22,161519
2019-02-23,161998
2019-02-24,152842
2019-02-25,142859
2019-02-26,149219
2019-02-27,139523
2019-02-28,133019
2019-03-01,107230
2019-03-02,111413
2019-03-03,119755
2019-03-04,122956
2019-03-05,119237
2019-03-06,121089
2019-03-07,114163
2019-03-08,125528
2019-03-09,133462
2019-03-10,120701
2019-03-11,123512
2019-03-12,121203
2019-03-13,125226
2019-03-14,125532
2019-03-15,124046
2019-03-16,120538
2019-03-17,133081
2019-03-18,128866
2019-03-19,121235
2019-03-20,125870
2019-03-21,121784
2019-03-22,122255
2019-03-23,114875
2019-03-24,122419
2019-03-25,113580
2019-03-26,121003
2019-03-27,116116
2019-03-28,115419
2019-03-29,113920
2019-03-30,104261
2019-03-31,105743
2019-04-01,110128
2019-04-02,117219
2019-04-03,117177
2019-04-04,122949
2019-04-05,119054
2019-04-06,117505
2019-04-07,119708
2019-04-08,117023
2019-04-09,125766
2019-04-10,126519
2019-04-11,127333
2019-04-12,128556
2019-04-13,125094
2019-04-14,117888
2019-04-15,125417
2019-04-16,120570
2019-04-17,128868
2019-04-18,128340
2019-04-19,118548
2019-04-20,122750
2019-04-21,121418
2019-04-22,117175
2019-04-23,126120
2019-04-24,115852
2019-04-25,111709
2019-04-26,113040
2019-04-27,115367
2019-04-28,118912
2019-04-29,112306
2019-04-30,109759
2019-05-01,106908
2019-05-02,115752
2019-05-03,116906
2019-05-04,109088
2019-05-05,122016
2019-05-06,118468
2019-05-07,121434
2019-05-08,121777
2019-05-09,126283
2019-05-10,118649
2019-05-11,120343
2019-05-12,120729
2019-05-13,118025
2019-05-14,119237
2019-05-15,124189
2019-05-16,128621
2019-05-17,122714
2019-05-18,117265
2019-05-19,124376
2019-05-20,112547
2019-05-21,127896
2019-05-22,120637
2019-05-23,124137
2019-05-24,125250
2019-05-25,121407
2019-05-26,117903
2019-05-27,115973
2019-05-28,110456
2019-05-29,110351
2019-05-30,112124
2019-05-31,111876
2019-06-01,121130
2019-06-02,122169
2019-06-03,115619
2019-06-04,117768
2019-06-05,116197
2019-06-06,134899
2019-06-07,125300
2019-06-08,116008
2019-06-09,119276
2019-06-10,127377
2019-06-11,126625
2019-06-12,126227
2019-06-13,125421
2019-06-14,125469
2019-06-15,122669
2019-06-16,130333
2019-06-17,119680
2019-06-18,130636
2019-06-19,132743
2019-06-20,121894
2019-06-21,120280
2019-06-22,120644
2019-06-23,123883
2019-06-24,125422
2019-06-25,118000
2019-06-26,112884
2019-06-27,124774
2019-06-28,108613
2019-06-29,108145
2019-06-30,114420
2019-07-01,108314
2019-07-02,111013
2019-07-03,110533
2019-07-04,122913
2019-07-05,126331
2019-07-06,122667
2019-07-07,124973
2019-07-08,123627
2019-07-09,118220
2019-07-10,119954
2019-07-11,123234
2019-07-12,123667
2019-07-13,115609
2019-07-14,123799
2019-07-15,117946
2019-07-16,123437
2019-07-17,117922
2019-07-18,124184
2019-07-19,126972
2019-07-20,120289
2019-07-21,124771
2019-07-22,114119
2019-07-23,121146
2019-07-24,110917
2019-07-25,120332
2019-07-26,114386
2019-07-27,111923
2019-07-28,115886
2019-07-29,112015
2019-07-30,102661
2019-07-31,99457
2019-08-01,106244
2019-08-02,106382
2019-08-03,108827
2019-08-04,110381
2019-08-05,109661
2019-08-06,120450
2019-08-07,121399
2019-08-08,117055
2019-08-09,121057
2019-08-10,114548
2019-08-11,117906
2019-08-12,121285
2019-08-13,113935
2019-08-14,117263
2019-08-15,116356
2019-08-16,117580
2019-08-17,111224
2019-08-18,114348
2019-08-19,115797
2019-08-20,118076
2019-08-21,117152
2019-08-22,122554
2019-08-23,112056
2019-08-24,112009
2019-08-25,106536
2019-08-26,111420
2019-08-27,111973
2019-08-28,103991
2019-08-29,109402
2019-08-30,103473
2019-08-31,105893
2019-09-01,112408
2019-09-02,119512
2019-09-03,122869
2019-09-04,117096
2019-09-05,120067
2019-09-06,115038
2019-09-07,116784
2019-09-08,122169
2019-09-09,125092
2019-09-10,121678
2019-09-11,123226
2019-09-12,119991
2019-09-13,119954
2019-09-14,115026
2019-09-15,116677
2019-09-16,119675
2019-09-17,116102
2019-09-18,122588
2019-09-19,109169
2019-09-20,112712
2019-09-21,108147
2019-09-22,104666
2019-09-23,108176
2019-09-24,106396
2019-09-25,107339
2019-09-26,100894
