,Visited
2018-11-10,118060
2018-11-11,103966
2018-11-12,120745
2018-11-13,123976
2018-11-14,114917
2018-11-15,115364
2018-11-16,122126
2018-11-17,112646
2018-11-18,116091
2018-11-19,114382
2018-11-20,108788
2018-11-21,106042
2018-11-22,101593
2018-11-23,120569
2018-11-24,115913
2018-11-25,113141
2018-11-26,108348
2018-11-27,101010
2018-11-28,109040
2018-11-29,99656
2018-11-30,101100
2018-12-01,116658
2018-12-02,114823
2018-12-03,122835
2018-12-04,122598
2018-12-05,118897
2018-12-06,122876
2018-12-07,120270
2018-12-08,118665
2018-12-09,113181
2018-12-10,118744
2018-12-11,115765
2018-12-12,127356
2018-12-13,125692
2018-12-14,123067
2018-12-15,111560
2018-12-16,112063
2018-12-17,120714
2018-12-18,112109
2018-12-19,111501
2018-12-20,117202
2018-12-21,111435
2018-12-22,112530
2018-12-23,111921
2018-12-24,86199
2018-12-25,108345
2018-12-26,97975
2018-12-27,103777
2018-12-28,103295
2018-12-29,95675
2018-12-30,95305
2018-12-31,100896
2019-01-01,80595
2019-01-02,77067
2019-01-03,87566
2019-01-04,83369
2019-01-05,78145
2019-01-06,83064
2019-01-07,81023
2019-01-08,90300
2019-01-09,88496
2019-01-10,92321
2019-01-11,95225
2019-01-12,87137
2019-01-13,91676
2019-01-14,96876
2019-01-15,90347
2019-01-16,92622
2019-01-17,90696
2019-01-18,97755
2019-01-19,86497
2019-01-20,96321
2019-01-21,98439
2019-01-22,99004
2019-01-23,95538
2019-01-24,92647
2019-01-25,97366
2019-01-26,93292
2019-01-27,88947
2019-01-28,96087
2019-01-29,90437
2019-01-30,93371
2019-01-31,82135
2019-02-01,112862
2019-02-02,105838
2019-02-03,109519
2019-02-04,115343
2019-02-05,100005
2019-02-06,110077
2019-02-07,98840
2019-02-08,117322
2019-02-09,111531
2019-02-10,113684
2019-02-11,117752
2019-02-12,113986
2019-02-13,104808
2019-02-14,112697
2019-02-15,107664
2019-02-16,104567
2019-02-17,100268
2019-02-18,102453
2019-02-19,105414
2019-02-20,109929
2019-02-21,90978
2019-02-22,99037
2019-02-23,93681
2019-02-24,94539
2019-02-25,97029
2019-02-26,96151
2019-02-27,97011
2019-02-28,96693
2019-03-01,82699
2019-03-02,79674
2019-03-03,78020
2019-03-04,85203
2019-03-05,82047
2019-03-06,82237
2019-03-07,76997
2019-03-08,81392
2019-03-09,80658
2019-03-10,82706
2019-03-11,84137
2019-03-12,80982
2019-03-13,87093
2019-03-14,86707
2019-03-15,80043
2019-03-16,82151
2019-03-17,77254
2019-03-18,85066
2019-03-19,81705
2019-03-20,82951
2019-03-21,80556
2019-03-22,86208
2019-03-23,82650
2019-03-24,81896
2019-03-25,74482
2019-03-26,83702
2019-03-27,83009
2019-03-28,72133
2019-03-29,71333
2019-03-30,66770
2019-03-31,67921
2019-04-01,69476
2019-04-02,74244
2019-04-03,80931
2019-04-04,72609
2019-04-05,74040
2019-04-06,71476
2019-04-07,68178
2019-04-08,81579
2019-04-09,75740
2019-04-10,75587
2019-04-11,77601
2019-04-12,79723
2019-04-13,74055
2019-04-14,79223
2019-04-15,78545
2019-04-16,74658
2019-04-17,79817
2019-04-18,75243
2019-04-19,74920
2019-04-20,82104
2019-04-21,79415
2019-04-22,74305
2019-04-23,71683
2019-04-24,78133
2019-04-25,75137
2019-04-26,75575
2019-04-27,80835
2019-04-28,67980
2019-04-29,71708
2019-04-30,64298
2019-05-01,80458
2019-05-02,80887
2019-05-03,89791
2019-05-04,84368
2019-05-05,79980
2019-05-06,82445
2019-05-07,81193
2019-05-08,83193
2019-05-09,80202
2019-05-10,80093
2019-05-11,80647
2019-05-12,75886
2019-05-13,80736
2019-05-14,72266
2019-05-15,81924
2019-05-16,77764
2019-05-17,79726
2019-05-18,79067
2019-05-19,69149
2019-05-20,73818
2019-05-21,70670
2019-05-22,73671
2019-05-23,74951
2019-05-24,73136
2019-05-25,73326
2019-05-26,77679
2019-05-27,64699
2019-05-28,74566
2019-05-29,58417
2019-05-30,65157
2019-05-31,66987
2019-06-01,54936
2019-06-02,61783
2019-06-03,59764
2019-06-04,58462
2019-06-05,62637
2019-06-06,64779
2019-06-07,62333
2019-06-08,60532
2019-06-09,62943
2019-06-10,52305
2019-06-11,63035
2019-06-12,58556
2019-06-13,58268
2019-06-14,60672
2019-06-15,60340
2019-06-16,60668
2019-06-17,57371
2019-06-18,58468
2019-06-19,60669
2019-06-20,58817
2019-06-21,66881
2019-06-22,54244
2019-06-23,56169
2019-06-24,61307
2019-06-25,59405
2019-06-26,56939
2019-06-27,61331
2019-06-28,49368
2019-06-29,54060
2019-06-30,57811
2019-07-01,58545
2019-07-02,61185
2019-07-03,58127
2019-07-04,60112
2019-07-05,58816
2019-07-06,61826
2019-07-07,62629
2019-07-08,61908
2019-07-09,59806
2019-07-10,58710
2019-07-11,63378
2019-07-12,61003
2019-07-13,58703
2019-07-14,56925
2019-07-15,60635
2019-07-16,59645
2019-07-17,56006
2019-07-18,64800
2019-07-19,61621
2019-07-20,58012
2019-07-21,55666
2019-07-22,53643
2019-07-23,56241
2019-07-24,60393
2019-07-25,56773
2019-07-26,53130
2019-07-27,52318
2019-07-28,49349
2019-07-29,56930
2019-07-30,51272
2019-07-31,53036
2019-08-01,52033
2019-08-02,48068
2019-08-03,43110
2019-08-04,49814
2019-08-05,54932
2019-08-06,56525
2019-08-07,49612
2019-08-08,54898
2019-08-09,55860
2019-08-10,51852
2019-08-11,53949
2019-08-12,54483
2019-08-13,51105
2019-08-14,63714
2019-08-15,54771
2019-08-16,57246
2019-08-17,53957
2019-08-18,54867
2019-08-19,50874
2019-08-20,56773
2019-08-21,61164
2019-08-22,55884
2019-08-23,55164
2019-08-24,52060
2019-08-25,54646
2019-08-26,52858
2019-08-27,53668
2019-08-28,53563
2019-08-29,50738
2019-08-30,51580
2019-08-31,48926
2019-09-01,57501
2019-09-02,54992
2019-09-03,54489
2019-09-04,55505
2019-09-05,62343
2019-09-06,59432
2019-09-07,52702
2019-09-08,56055
2019-09-09,55626
2019-09-10,56904
2019-09-11,56402
2019-09-12,57971
2019-09-13,56010
2019-09-14,56336
2019-09-15,58422
2019-09-16,55005
2019-09-17,61983
2019-09-18,57938
2019-09-19,57947
2019-09-20,56801
2019-09-21,54950
2019-09-22,58401
2019-09-23,54355
2019-09-24,59474
2019-09-25,54706
2019-09-26,55161
2019-09-27,58335
2019-09-28,55880
2019-09-29,59274
2019-09-30,51318
2019-10-01,40204
2019-10-02,44109
2019-10-03,44290
2019-10-04,46417
2019-10-05,46315
2019-10-06,47048
2019-10-07,51417
2019-10-08,50338
2019-10-09,54115
2019-10-10,51495
2019-10-11,57521
2019-10-12,57633
2019-10-13,56628
2019-10-14,56669
2019-10-15,58167
2019-10-16,63966
2019-10-17,59841
2019-10-18,58582
2019-10-19,60696
2019-10-20,65639
2019-10-21,63793
2019-10-22,70748
2019-10-23,62503
2019-10-24,60983
2019-10-25,63390
2019-10-26,59588
2019-10-27,67689
2019-10-28,68137
2019-10-29,62398
2019-10-30,62835
2019-10-31,58692
2019-11-01,74599
2019-11-02,78501
2019-11-03,81406
2019-11-04,81592
2019-11-05,78277
2019-11-06,81504
2019-11-07,83062
2019-11-08,84566
2019-11-09,81262
2019-11-10,83799
2019-11-11,93374
2019-11-12,87529
2019-11-13,88040
2019-11-14,102688
2019-11-15,92528
2019-11-16,87165
2019-11-17,90101
2019-11-18,99357
2019-11-19,103123
2019-11-20,103361
2019-11-21,97643
2019-11-22,104073
2019-11-23,105574
2019-11-24,92593
2019-11-25,104862
2019-11-26,104669
2019-11-27,100826
2019-11-28,96510
2019-11-29,93681
2019-11-30,106799
2019-12-01,121868
2019-12-02,135359
2019-12-03,146479
2019-12-04,133510
2019-12-05,144690
2019-12-06,130375
2019-12-07,141935
2019-12-08,132697
2019-12-09,136843
2019-12-10,150976
2019-12-11,133741
2019-12-12,131858
2019-12-13,138829
2019-12-14,146600
2019-12-15,147324
2019-12-16,142125
2019-12-17,140737
2019-12-18,137138
2019-12-19,140228
2019-12-20,131098
2019-12-21,141725
2019-12-22,136994
2019-12-23,150314
2019-12-24,131560
2019-12-25,119950
2019-12-26,148457
2019-12-27,137172
2019-12-28,121368
2019-12-29,118531
2019-12-30,127528
2019-12-31,118907
2020-01-01,103547
2020-01-02,112727
2020-01-03,108571
2020-01-04,117075
2020-01-05,121648
2020-01-06,124727
2020-01-07,123819
2020-01-08,121891
2020-01-09,127584
2020-01-10,123465
2020-01-11,134397
2020-01-12,125426
2020-01-13,137105
2020-01-14,114748
2020-01-15,128827
2020-01-16,132858
2020-01-17,135360
2020-01-18,138844
2020-01-19,128180
2020-01-20,151700
2020-01-21,127250
2020-01-22,139886
2020-01-23,132232
2020-01-24,133191
2020-01-25,135229
2020-01-26,143631
2020-01-27,133212
2020-01-28,128059
2020-01-29,134886
2020-01-30,129970
2020-01-31,126549
2020-02-01,157402
2020-02-02,158541
2020-02-03,160638
2020-02-04,155751
2020-02-05,172469
2020-02-06,159073
